 1  264
         1 21      2212      0.00000000       0.00000000    3999.99988996    4000.00000000
         2 21      2212      0.00000000       0.00000000   -3999.99988996    4000.00000000
         3 21        -2     -3.39307092       0.64362474    1283.73061518    1283.73526068
         4 21         2     -0.60529666       0.75649363   -1528.95728428    1528.95759125
         5 21        -2     -0.89641435       0.72748133    1061.40806717    1061.40869501
         6 21         2     -4.70600401     -11.87739463   -1373.51876905    1373.57818413
         7 21         6  -1186.28683287    -170.63886193    -156.98426763    1221.20766636
         8 21        -6   1180.68441467     159.48894921    -155.12630825    1213.77921275
         9 21        24  -1092.99210924    -139.93315833    -181.87287284    1119.77651548
        10 21         5    -93.29472366     -30.70570360      24.88860521     101.43115087
        11 21       -24   1140.14292560     152.17454721    -177.57855532    1166.62726464
        12 21        -5     40.54148910       7.31440201      22.45224707      47.15194814
        13 21       -13   -116.63550449     -23.70672042     -44.06708543     126.91638462
        14 21        14   -976.35660472    -116.22643792    -137.80578741     992.86013088
        15 21         1    254.20301528      57.35983526     -64.70520845     268.50714642
        16 21        -2    885.93991031      94.81471194    -112.87334687     898.12011820
        19  1       -13    -92.92552643     -17.86259682     -41.21009902     103.21099386
        20  1        14   -791.38056640     -70.60948628    -115.52908116     802.87973510
        76  1       211      0.32866307       0.27691183      19.97225582      19.97736675
        77  1      -211      0.63314395      -0.57817423      39.65634031      39.66585387
        79  1      -211      0.20817644       0.17539370      65.38550022      65.38621582
        80  1       211     -0.83851106       0.00067289      22.89977118      22.91554279
        86  1       211      0.96503852       0.50814966     197.26494494     197.26800931
        88  1      2212      0.44243491      -0.02429211    1376.33681662    1376.33720777
        90  1      2212      0.32371681       0.21461611   -1303.46971845    1303.47011401
        91  1      -211      0.03840951      -0.92505400    -568.16499269     568.16576419
        94  1       211      0.90461330       0.31383897    -254.67378645     254.67562468
        99  1      2112      0.42079713       0.35294480     -13.56070440      13.60430578
       101  1       211      0.42600926       1.08972536      -7.20298912       7.29873395
       106  1       211      0.34600348       0.42718301      -3.94304919       3.98363156
       107  1      -211      0.86730965       0.59857648      -7.51280327       7.58763550
       108  1     -2112      0.71269166      -0.43942639      -6.09859660       6.22709381
       109  1       211      0.07402517      -0.03056929      -0.27637428       0.31980734
       126  1       211     -2.41904385      -0.26576248      -0.59786091       2.50984468
       128  1      -211    -16.32104826      -1.31527142      -4.34744781      16.94185166
       130  1       211     -3.62618119      -0.41291562      -1.04662123       3.79928745
       131  1      -211     -3.97380431      -0.12142498      -0.79001996       4.05579537
       135  1     -2212     -3.63860047      -1.81929729      -0.92399859       4.27590692
       139  1      -211     -2.09223442      -1.46126325      -0.59700398       2.62461972
       142  1      -211     -1.83356014      -1.45590831      -0.35870915       2.37271233
       144  1       211     -0.62054029      -0.61071683      -0.67353574       1.10958347
